[2018/1/1 - 17:39:11] can i update my name? nrn please | Dialog ID: 3750 | SQL ID: 1000082407
[2018/1/3 - 10:40:56] /droplicense | Dialog ID: 8004 | SQL ID: 1000526203
[2018/1/3 - 11:25:25] /droplicense | Dialog ID: 8004 | SQL ID: 1000053869
[2018/1/3 - 13:52:21] Get rid of this weather please, so dumb and stupid, eating all of my FPS creating huge FPS drop | Dialog ID: 3750 | SQL ID: 1000625214
[2018/1/3 - 13:54:51] can you change this weather please i get a good 40 fps drop from it | Dialog ID: 3750 | SQL ID: 1000624816
[2018/1/3 - 15:47:47] I cannot come to ts need to update window 7 or else you should gimme the link of discord i can come there | Dialog ID: 3750 | SQL ID: 1000625568
[2018/1/3 - 17:28:33] Can you pick up something you /drop'ed ? | Dialog ID: 6080 | SQL ID: 1000506811
[2018/1/3 - 17:28:53] I'm afraid items you /drop are gone forever I believe | Dialog ID: 6081 | SQL ID: 1000624847
[2018/1/3 - 18:41:22] can i get nrn to update my ngg name | Dialog ID: 3750 | SQL ID: 1000040947
[2018/1/3 - 19:19:28] After the update how much would 1000 LBS Of fish cost? | Dialog ID: 6080 | SQL ID: 1000624802
[2018/1/3 - 19:46:58] Is there any command like ./changelog to see whats updated/fixed | Dialog ID: 6080 | SQL ID: 1000625028
[2018/1/3 - 20:02:18] How Much does 1000 LBS Cost after the update? | Dialog ID: 6080 | SQL ID: 1000624802
[2018/1/3 - 21:51:52] /droplicense | Dialog ID: 8004 | SQL ID: 1000624894
[2018/1/3 - 22:36:14] Nope, you can't drop guns on the floor nor pick them, gotta buy from other players or craft using /sellgun | Dialog ID: 6081 | SQL ID: 1000467962
[2018/1/3 - 22:48:09] fish script changes? we can no /updates so dats why am asking here | Dialog ID: 6080 | SQL ID: 1000311457
[2018/1/3 - 22:52:19] Suggestion : add /changes or /updates | Dialog ID: 3750 | SQL ID: 1000311457
[2018/1/4 - 1:51:53] Go to newgenerationgaming.net - the shop is currently not up yet but it will be. Go to the site to stay updated | Dialog ID: 6081 | SQL ID: 70624
[2018/1/4 - 1:52:09] Shop is currently not up, but go to: newgenerationgaming.net to stay updated | Dialog ID: 6081 | SQL ID: 70624
[2018/1/4 - 3:31:43] is there a command to check new updates in the server? | Dialog ID: 6080 | SQL ID: 88498
[2018/1/4 - 3:39:55] Any updates? | Dialog ID: 6080 | SQL ID: 1000625113
[2018/1/4 - 5:40:23] what are the incoming updates? | Dialog ID: 3750 | SQL ID: 900152
[2018/1/4 - 5:49:04] Matt whats the update? | Dialog ID: 3750 | SQL ID: 1000624990
[2018/1/4 - 6:04:49] What new UpdateD? | Dialog ID: 6080 | SQL ID: 1000625502
[2018/1/4 - 6:07:25] What The New updated? | Dialog ID: 6080 | SQL ID: 1000625502
[2018/1/4 - 9:47:59] Press Y while aiming on a player and select 'give' on the interaction menu | Dialog ID: 6081 | SQL ID: 1000467962
[2018/1/4 - 17:00:09] /droplicense | Dialog ID: 8012 | SQL ID: 1000625792
[2018/1/4 - 17:26:53] the fishing job updated? | Dialog ID: 6080 | SQL ID: 1000335825
[2018/1/4 - 17:47:07] did they updates to shipment ? | Dialog ID: 6080 | SQL ID: 1000624841
[2018/1/4 - 18:05:17] Admins already did it, prices have been updated. | Dialog ID: 6081 | SQL ID: 1000326695
[2018/1/4 - 18:57:39] There is no set date/time. Keep checking the forums as they will update it on there. | Dialog ID: 6081 | SQL ID: 1000190816
[2018/1/4 - 21:25:54] I don't understand if there any slots for helpers or no fourm is not updated | Dialog ID: 6080 | SQL ID: 1000625836
[2018/1/5 - 1:15:37] why did the admins nerf the fishing job? that will make players drop. | Dialog ID: 6080 | SQL ID: 1000624814
[2018/1/5 - 1:57:20] /droplicense | Dialog ID: 8004 | SQL ID: 1000054841
[2018/1/5 - 15:03:43] Use /jobhelp and select the job you want to find. | Dialog ID: 6081 | SQL ID: 1000417757
[2018/1/5 - 16:29:36] /droplicense | Dialog ID: 8012 | SQL ID: 1000625309
[2018/1/5 - 18:57:29] i accidantly dropped my car in water :( | Dialog ID: 3750 | SQL ID: 1000517215
[2018/1/5 - 22:10:17] can we get a revive please, aimbotter dropped us ;( | Dialog ID: 3750 | SQL ID: 1000063405
[2018/1/6 - 4:07:54] Fishing should be working fine, they dropped the money earnt down so its not OP | Dialog ID: 6081 | SQL ID: 868939
[2018/1/6 - 4:19:59] No, its just updates automatically | Dialog ID: 6081 | SQL ID: 868939
[2018/1/6 - 4:21:13] If you have alot of money on hand, if you die it will dropped? | Dialog ID: 6080 | SQL ID: 1000626072
[2018/1/6 - 13:57:48] You can buy a lock from a 24/7 using /buy, and select an Industrial or Electrical Lock. | Dialog ID: 6081 | SQL ID: 1000417757
[2018/1/6 - 14:03:36] ~green~ when next update? | Dialog ID: 6080 | SQL ID: 1000329770
[2018/1/6 - 14:54:06] How to drop crates on the ground when | Dialog ID: 6080 | SQL ID: 1000625836
[2018/1/6 - 17:30:15] WIll the server update a global channel? | Dialog ID: 6080 | SQL ID: 1000626142
[2018/1/6 - 17:50:22] How to remove wheel camp? and there's an are uphill near dillimore that gives sudden fps drops | Dialog ID: 6080 | SQL ID: 1000626146
[2018/1/6 - 17:51:13] why there's an area uphill near dillimore that gives sudden fps drops | Dialog ID: 6080 | SQL ID: 1000626146
[2018/1/7 - 5:14:52] /droplicense | Dialog ID: 8012 | SQL ID: 1000625095
[2018/1/7 - 5:51:21] You can select 'General Exploits' | Dialog ID: 6081 | SQL ID: 1000625066
[2018/1/7 - 8:06:19] /droplicense | Dialog ID: 8012 | SQL ID: 1000626142
[2018/1/7 - 9:24:39] Is the server still updated/improved by the staff? | Dialog ID: 6080 | SQL ID: 1000626142
[2018/1/7 - 10:26:38] All admins are sleeping? | Dialog ID: 3750 | SQL ID: 1000580300
[2018/1/7 - 12:31:24] /droplicense | Dialog ID: 8004 | SQL ID: 1000625604
[2018/1/7 - 12:31:28] /droplicense | Dialog ID: 8004 | SQL ID: 1000625604
[2018/1/7 - 14:05:36] which update now? | Dialog ID: 6080 | SQL ID: 1000517215
[2018/1/7 - 14:05:38] For updates | Dialog ID: 6081 | SQL ID: 1000077572
[2018/1/7 - 14:05:46] What kind of updates? | Dialog ID: 6080 | SQL ID: 1000625149
[2018/1/7 - 14:06:23] Which update? | Dialog ID: 6080 | SQL ID: 1000624821
[2018/1/7 - 14:06:38] Can u tell us the updates? | Dialog ID: 3750 | SQL ID: 1000624967
[2018/1/7 - 14:22:00] update is finish ? | Dialog ID: 6080 | SQL ID: 1000624841
[2018/1/7 - 14:24:57] Command to see updates/changes? | Dialog ID: 6080 | SQL ID: 1000056696
[2018/1/7 - 14:25:33] What is the update? | Dialog ID: 6080 | SQL ID: 147442
[2018/1/7 - 14:27:21] Hey? What's the update? /upgrade doesn't even fixed. | Dialog ID: 6080 | SQL ID: 147442
[2018/1/7 - 14:28:15] update | Dialog ID: 8003 | SQL ID: 1000056696
[2018/1/7 - 14:31:40] Whats the new update? | Dialog ID: 6080 | SQL ID: 1000625295
[2018/1/7 - 14:42:05] How to check all the changes, updates? | Dialog ID: 6080 | SQL ID: 3597
[2018/1/7 - 14:42:44] newgenerationgaming.net/forums it will be announced on there if any updates | Dialog ID: 6081 | SQL ID: 863969
[2018/1/7 - 14:55:31] If you want to see all the updates  | Dialog ID: 6081 | SQL ID: 1000531330
[2018/1/7 - 14:56:22] There is no command to see the updates, however you can www.newgenerationgaming,net | Dialog ID: 6081 | SQL ID: 1000531330
[2018/1/7 - 14:57:08] Matt Honest announced that there is a 'general updates' and bugs are fixed. But /upgrade doesn't fixed it. | Dialog ID: 6080 | SQL ID: 147442
[2018/1/7 - 14:57:15] You can check www.newgenerationgaming.net to see all the updates | Dialog ID: 6081 | SQL ID: 1000531330
[2018/1/7 - 14:57:32] It's /changes but it doesn't currently work, check the forums to see the updates. www.newgenerationgaming.net | Dialog ID: 6081 | SQL ID: 1000417757
[2018/1/7 - 14:58:59] Fuck i lost all because of that update and you wont refund damn it i have proofs!and ss | Dialog ID: 3750 | SQL ID: 1000625295
[2018/1/7 - 14:59:29] Updates didn't include fixing /upgrade, for now only most gamebreaking bugs were fixed | Dialog ID: 6081 | SQL ID: 1000467962
[2018/1/7 - 15:43:14] Another updates? | Dialog ID: 6080 | SQL ID: 1000624967
[2018/1/7 - 15:56:34] There hacker killed me before the updates , refund me (mp5 and shotgun) | Dialog ID: 3750 | SQL ID: 1000624841
[2018/1/7 - 16:19:25] SELECT * FROM `shop_orders` WHERE `user_id` = 1000625262 AND `status` = 0/handsup | Dialog ID: 8032 | SQL ID: 1000625790
[2018/1/7 - 16:48:09] what added in the update? | Dialog ID: 6080 | SQL ID: 1000335825
[2018/1/7 - 17:01:21] Update your unit callsign (( TS tag )) | Dialog ID: 2420 | SQL ID: 22576
[2018/1/7 - 17:01:33] Update your unit callsign (( ts tag )) | Dialog ID: 2530 | SQL ID: 22576
[2018/1/7 - 17:01:54] Update your unit callsign please | Dialog ID: 2530 | SQL ID: 22576
[2018/1/7 - 17:16:43] SELECT * FROM `shop_orders` WHERE `user_id` = 1000624979 AND `status` = 0/bstore | Dialog ID: 8032 | SQL ID: 1000054779
[2018/1/7 - 17:19:33] There's a laggy area next to bb acres and factory, no cars about but fps still drops from 100 to like 40-50'ish. | Dialog ID: 3750 | SQL ID: 1000467962
[2018/1/7 - 17:41:18] What added in the update? | Dialog ID: 6080 | SQL ID: 1000335825
[2018/1/7 - 18:14:21] Use /jobhelp and select the job you want, and it will tell you the location. | Dialog ID: 6081 | SQL ID: 1000417757
[2018/1/7 - 18:26:34] Go to a 24/7 and use /buy, and select one of the 3 locks. | Dialog ID: 6081 | SQL ID: 1000417757
[2018/1/8 - 1:20:04] Jameson im waiting you bruh, i need to go sleep its time to go out | Dialog ID: 3750 | SQL ID: 22183
[2018/1/8 - 2:37:44] SELECT * FROM `shop_orders` WHERE `user_id` = 1000249064 AND `status` = 0Server Moderator | Dialog ID: 8007 | SQL ID: 50232
[2018/1/8 - 8:16:16] Any admins online?i need to get my refund!because of the server update yesterday¬! | Dialog ID: 3750 | SQL ID: 1000625295
[2018/1/8 - 8:29:32] Why did i get rollback account yesterday because of the restart?Im afk while the server updates's | Dialog ID: 6080 | SQL ID: 1000625295
[2018/1/8 - 10:27:38] is there an update command to see updates in the server? | Dialog ID: 6080 | SQL ID: 88498
[2018/1/8 - 12:24:29] Not yet, they are working to update them | Dialog ID: 6081 | SQL ID: 1000077572
[2018/1/8 - 12:24:53] Where can i see the latest updates? | Dialog ID: 6080 | SQL ID: 90107
[2018/1/8 - 14:53:39] is there any admins that can handle my rollback because of yesterday's server update? | Dialog ID: 3750 | SQL ID: 1000625295
[2018/1/8 - 19:46:04] /droplicense | Dialog ID: 8004 | SQL ID: 22576
[2018/1/9 - 1:55:50] selling a book "In TOunsi WE SLeep On GOld Bed Bro" sms | Dialog ID: 2950 | SQL ID: 120492
[2018/1/9 - 4:54:15] Where can  i see server updates in game ? | Dialog ID: 6080 | SQL ID: 1000625231
[2018/1/9 - 5:45:30] Website to find out the server updates.. what's new??! | Dialog ID: 6080 | SQL ID: 1000538524
[2018/1/9 - 5:46:02] Head to newgenerationgaming.net to get all of the latest news and updates. | Dialog ID: 6081 | SQL ID: 868939
[2018/1/9 - 6:32:59] What the New Updates? | Dialog ID: 6080 | SQL ID: 1000624284
[2018/1/9 - 12:39:51] when the jail finshed i select no but now iam jaild 2777 hour | Dialog ID: 3750 | SQL ID: 1000624819
[2018/1/9 - 13:54:11] bugged,tp me back to jail. i fell and got dropped to blueberry | Dialog ID: 3750 | SQL ID: 1000426218
[2018/1/9 - 21:42:16] what would this update v3.0.475 add to the server? | Dialog ID: 6080 | SQL ID: 1000549753
[2018/1/10 - 1:19:25] what are the updates ?w | Dialog ID: 6080 | SQL ID: 1000500417
[2018/1/10 - 1:26:03] what's the new updates? | Dialog ID: 6080 | SQL ID: 1000178952
[2018/1/10 - 1:59:43] what happened in the update ?  | Dialog ID: 6080 | SQL ID: 1000087071
[2018/1/10 - 4:07:37] What is the update bro? | Dialog ID: 3750 | SQL ID: 147442
[2018/1/10 - 4:28:42] Captain what was the updates? | Dialog ID: 3750 | SQL ID: 147442
[2018/1/10 - 4:43:08] any update? | Dialog ID: 6080 | SQL ID: 1000624990
[2018/1/10 - 11:42:16] Where can i see the latest updates? | Dialog ID: 6080 | SQL ID: 90107
[2018/1/10 - 16:53:16] Recruitments are currently closed for SAAS, keep yourself updated on the forums | Dialog ID: 6081 | SQL ID: 1000624858
[2018/1/11 - 0:34:47] /droplicense | Dialog ID: 8012 | SQL ID: 1000626682
[2018/1/11 - 7:47:14] /droplicense | Dialog ID: 8012 | SQL ID: 1000626032
[2018/1/11 - 16:59:39] Scam Limit is updated? | Dialog ID: 6080 | SQL ID: 1000626862
[2018/1/11 - 17:24:42] You can go to a bank or an ATM and then select the 'deposit' option to do so | Dialog ID: 6081 | SQL ID: 1000624858
[2018/1/11 - 18:39:06] i was kinda offline for 1 week so ahh .. any updates and any new Dealerships ? | Dialog ID: 6080 | SQL ID: 1000625071
[2018/1/11 - 21:17:30] reporting alot of times but admin sleepin | Dialog ID: 6080 | SQL ID: 1000625376
[2018/1/12 - 0:15:18] SELECT * FROM `shop_orders` WHERE `user_id` = 1000624847 AND `status` = 0Server Moderator | Dialog ID: 8007 | SQL ID: 1000252341
[2018/1/12 - 0:35:20] why is the player base dropping significantly? | Dialog ID: 6080 | SQL ID: 1000625354
[2018/1/12 - 0:41:52] Hate waiting? Dont like Taxi's? Call Uber now!! UberX, UberSelect, UberXL Out Now! | Dialog ID: 2950 | SQL ID: 10256
[2018/1/12 - 0:42:18] Hate Taxi's? In a hurry? Call Uber now! UberX, UberSelect, UberXL | Dialog ID: 2950 | SQL ID: 10256
[2018/1/12 - 0:48:51] Need something better then a Taxi? Call Uber now! UberX, UberXL, UberSelect | Dialog ID: 2950 | SQL ID: 10256
[2018/1/12 - 2:33:43] Does the update include additional courtrooms? | Dialog ID: 3750 | SQL ID: 36135
[2018/1/12 - 10:52:30] FPS Drop at my position. | Dialog ID: 3750 | SQL ID: 953
[2018/1/12 - 16:41:55] was it an update? | Dialog ID: 6080 | SQL ID: 1000565698
[2018/1/13 - 13:27:29] I have an escaped convict in my custody, gona drop him at LSPD | Dialog ID: 4945 | SQL ID: 1000084603
[2018/1/13 - 23:35:16] Hard to tell, stay focused on weekly updates | Dialog ID: 6081 | SQL ID: 1000467962
[2018/1/14 - 13:01:17] Why LSPD is lagging? FPS id dropping! | Dialog ID: 6080 | SQL ID: 147442
[2018/1/14 - 15:29:37] how to pick up droped gun. | Dialog ID: 6080 | SQL ID: 1000625533
[2018/1/14 - 18:05:09] Admin sleeping fucking i just got died and i revived fucki? and not got full armor | Dialog ID: 3750 | SQL ID: 1000625376
[2018/1/14 - 18:25:58] /droplicense | Dialog ID: 8012 | SQL ID: 1000262141
[2018/1/14 - 21:59:39] SELECT * FROM `shop_orders` WHERE `user_id` = 1000538524 AND `status` = 0/handsup | Dialog ID: 8032 | SQL ID: 1000625536
[2018/1/15 - 15:43:04] went in interior and dropped trough the ground | Dialog ID: 3750 | SQL ID: 1000036195
[2018/1/15 - 20:05:51] [b] materials sms me or your moma will die in her sleep tonight | Dialog ID: 2950 | SQL ID: 1000624826
[2018/1/16 - 9:17:34] i had a crate in forklift i couldn't drop it on the ground are you allowed to do that? | Dialog ID: 6080 | SQL ID: 1000227987
[2018/1/16 - 10:50:38] Server is dead now if you want to get your pb back go massunban and create updates in script | Dialog ID: 3750 | SQL ID: 1000627366
[2018/1/16 - 14:20:35] We just dropped lre now and they are like 11 , keep speccing me if they rk or nah | Dialog ID: 3750 | SQL ID: 1000624967
[2018/1/16 - 19:44:53] Just drop an eye on "glenn" squad, they are dming randomly around LS | Dialog ID: 3750 | SQL ID: 1000627290
[2018/1/16 - 23:16:10] Theres gonna be an update or something? | Dialog ID: 6080 | SQL ID: 1000036338
[2018/1/16 - 23:34:10] what updates paul | Dialog ID: 6080 | SQL ID: 1000624967
[2018/1/16 - 23:35:15] what was the update paul | Dialog ID: 3750 | SQL ID: 10944
[2018/1/16 - 23:35:15] nigger what update | Dialog ID: 3750 | SQL ID: 1000624967
[2018/1/17 - 2:32:32] SELECT * FROM `shop_orders` WHERE `user_id` = 50232 AND `status` = 0/lockhouse | Dialog ID: 8032 | SQL ID: 137951
[2018/1/17 - 4:16:58] i was sent to an ic jail, but somehow it dropped me here tp me back plz | Dialog ID: 3750 | SQL ID: 1000201659
[2018/1/17 - 12:59:59] DEAD ADMINS? FUCKING DMERS DMING YOU SLEEPING? | Dialog ID: 3750 | SQL ID: 1000565698
[2018/1/17 - 18:27:40] what's new robada? I selected san andreas | Dialog ID: 6080 | SQL ID: 1000627463
[2018/1/17 - 22:45:50] You can find any job by using the command [/map] then going to jobs and then selecting the job you want to find | Dialog ID: 6081 | SQL ID: 1000627030
[2018/1/17 - 22:51:27] Do the command [/myvouchers] it should be in there just select it and activate | Dialog ID: 6081 | SQL ID: 1000627030
[2018/1/17 - 23:02:19] Use the command [/maps] - Jobs and select Mechanic it will give you a checkpoint | Dialog ID: 6081 | SQL ID: 1000627030
[2018/1/18 - 11:42:06] When they're going to change this damn fps dropping crappy weather? :3 :(  | Dialog ID: 6080 | SQL ID: 1000568397
[2018/1/18 - 23:32:08] That's currently bugged so is not enabled. Keep an eye on the forums for updates | Dialog ID: 6081 | SQL ID: 1000626346
[2018/1/19 - 15:20:45] we dont need to update rp threads anymore ye? | Dialog ID: 3750 | SQL ID: 1000063405
[2018/1/19 - 16:28:27] SELECT * FROM `shop_orders` WHERE `user_id` = 1000476623 AND `status` = 0/handsup | Dialog ID: 8032 | SQL ID: 1000592307
[2018/1/19 - 19:32:43] Type /map then select 'Jobs' | Dialog ID: 6081 | SQL ID: 1000626346
[2018/1/19 - 20:23:38] A new UCP is currently being worked on, standby for updates | Dialog ID: 6081 | SQL ID: 1000626346
[2018/1/20 - 15:01:11] Type /unmodcar and select the modification you wish to remove | Dialog ID: 6081 | SQL ID: 1000626346
[2018/1/20 - 17:47:18] When is the next update/gmx? | Dialog ID: 6080 | SQL ID: 1000625349
[2018/1/21 - 6:01:43] Development Team is just working on for some updates to give you better roleplay experience. | Dialog ID: 6081 | SQL ID: 1000150568
[2018/1/22 - 9:43:12] ACCEPT MY DICKHEAD REPORT, I'M BUGGED IN WALL ARE U SLEEPING | Dialog ID: 3750 | SQL ID: 1000625376
[2018/1/22 - 9:45:21] WTF i'm reporting from long time and admins sleeping wtf is this? | Dialog ID: 6080 | SQL ID: 1000625376
[2018/1/22 - 13:49:57] Is there any new updates? | Dialog ID: 6080 | SQL ID: 147442
[2018/1/22 - 14:18:45] You can check forums to stay updated with any new upcoming updates. | Dialog ID: 6081 | SQL ID: 1000626779
[2018/1/22 - 20:48:46] Just /map > Jobs and select the job you think is the best for you! | Dialog ID: 6081 | SQL ID: 1000624964
[2018/1/22 - 22:28:38] i think crips rking at smb, they got dropped in the turf by chiapas and they going back when we claimed | Dialog ID: 3750 | SQL ID: 1000512495
[2018/1/22 - 23:15:42] Go inside and press "Y" near the counter then select "Deposit" | Dialog ID: 6081 | SQL ID: 1000624964
[2018/1/23 - 12:25:27] admin sleeping | Dialog ID: 6080 | SQL ID: 1000625376
[2018/1/23 - 23:17:45] Don't drop the soap | Dialog ID: 9206 | SQL ID: 1000627923
[2018/1/24 - 12:44:40] what kind of updates ? | Dialog ID: 6080 | SQL ID: 1000624841
[2018/1/24 - 13:51:11] admin sleeping? they aint accepting my fucking report | Dialog ID: 6080 | SQL ID: 1000625376
[2018/1/24 - 19:39:21] You can simply press "Y" and select withdraw, that's all you have to do, for more [/requesthelp]. | Dialog ID: 6081 | SQL ID: 1000625271
[2018/1/24 - 21:59:02] Salute to those who just dropped the soap, cuz they're snitches, Karma it is. | Dialog ID: 2950 | SQL ID: 72655
[2018/1/24 - 22:00:20] 1 min silences to the snitches who dropped the soap, karma is a bitch, isn't it? | Dialog ID: 2950 | SQL ID: 72655
[2018/1/24 - 22:00:39] 1min silence to the snitches who dropped the soap, karma is a bitch | Dialog ID: 2950 | SQL ID: 72655
[2018/2/13 - 11:54:02] ANy updates? | Dialog ID: 6080 | SQL ID: 1000624979
[2018/2/13 - 22:22:24] What's in the new update ? /changes not work for me | Dialog ID: 6080 | SQL ID: 1000629327
[2018/2/13 - 22:24:35] Alright, But could you please tell me what's in the new update v5 ? | Dialog ID: 6080 | SQL ID: 1000629327
[2018/2/14 - 13:05:32] how to drop cigar | Dialog ID: 6080 | SQL ID: 1000628346
